customer_id,first_name,last_name,email,address_id,active
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,f
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,f
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,t
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,f
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,t
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,t
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,t
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,t
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,t
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,t
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,t
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,t
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,f
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,t
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,t
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,f
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,f
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,t
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,t
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,t
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,f
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,t
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,f
24,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,f
25,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,t
26,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,t
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,t
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,f
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,t
30,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,f
31,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,t
32,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,f
33,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,t
34,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,t
35,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,t
36,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,f
37,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,t
38,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,t
39,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,f
40,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,t
41,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,t
42,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,t
43,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,t
44,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,f
45,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,t
46,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,f
47,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,f
48,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,t
49,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,f
50,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,t
51,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,t
52,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,t
53,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,t
54,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,t
55,DORIS,REED,DORIS.REED@sakilacustomer.org,59,t
56,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,t
57,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,t
58,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,t
59,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,t
60,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,t
61,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,t
62,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,f
63,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,t
64,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,t
65,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,f
66,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,t
67,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,t
68,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,f
69,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,t
70,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,t
71,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,t
